@relation Diamantes

@attribute carat numeric
@attribute cut {Ideal,Premium,Good,Very_Good,Fair}
@attribute color {E,I,J,H,F,G,D}
@attribute clarity {SI2,SI1,VS1,VS2,VVS2,VVS1,I1,IF}
@attribute price {300-699,1000-4999,5000-9999,10000+,700-999}

@data
0.2,Premium,E,SI2,300-699
0.2,Premium,E,VS2,300-699
0.2,Premium,E,VS2,300-699
0.2,Premium,E,VS2,300-699
0.2,Premium,E,VS2,300-699
0.2,Ideal,E,VS2,300-699
0.2,Premium,F,VS2,300-699
0.2,Ideal,D,VS2,300-699
0.2,Very_Good,E,VS2,300-699
0.2,Ideal,E,VS2,300-699
0.2,Premium,D,VS2,300-699
0.2,Premium,D,VS2,300-699
0.21,Premium,E,SI1,300-699
0.21,Very_Good,E,VS2,300-699
0.21,Premium,E,VS2,300-699
0.21,Premium,E,VS2,300-699
0.21,Premium,D,VS2,300-699
0.21,Premium,D,VS2,300-699
0.21,Premium,D,VS2,300-699
0.21,Premium,D,VS2,300-699
0.21,Premium,E,SI2,300-699
0.22,Fair,E,VS2,300-699
0.22,Premium,F,SI1,300-699
0.22,Premium,E,VS2,300-699
0.22,Premium,D,VS2,300-699
0.22,Premium,F,SI1,300-699
0.23,Ideal,E,SI2,300-699
0.23,Good,E,VS1,300-699
0.23,Very_Good,H,VS1,300-699
0.23,Ideal,J,VS1,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Very_Good,H,VS1,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Very_Good,D,VS1,300-699
0.23,Good,F,VS1,300-699
0.23,Good,E,VS1,300-699
0.23,Ideal,G,VS1,300-699
0.23,Premium,F,VVS2,300-699
0.23,Premium,D,VS2,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Ideal,E,VS1,300-699
0.23,Ideal,E,VS1,300-699
0.23,Ideal,I,VVS1,300-699
0.23,Premium,I,VVS1,300-699
0.23,Very_Good,G,VVS1,300-699
0.23,Very_Good,G,VVS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,D,VS1,300-699
0.23,Ideal,H,VS1,300-699
0.23,Ideal,E,VS2,300-699
0.23,Good,F,VVS2,300-699
0.23,Good,F,VVS2,300-699
0.23,Premium,E,VVS1,300-699
0.23,Premium,D,VVS2,300-699
0.23,Good,D,VVS1,300-699
0.23,Good,G,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Very_Good,H,VVS2,300-699
0.23,Very_Good,H,VVS2,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Very_Good,D,VS1,300-699
0.23,Good,E,VS2,300-699
0.23,Good,F,VS2,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Ideal,G,SI1,300-699
0.23,Ideal,G,SI1,300-699
0.23,Very_Good,H,VVS1,300-699
0.23,Premium,H,VS1,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Premium,E,VVS2,300-699
0.23,Premium,E,VVS2,300-699
0.23,Premium,E,VVS1,300-699
0.23,Premium,E,VVS1,300-699
0.23,Premium,E,VVS1,300-699
0.23,Premium,D,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Premium,D,VVS2,300-699
0.23,Very_Good,G,VVS2,300-699
0.23,Good,E,VVS1,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Good,F,VS2,300-699
0.23,Premium,F,VVS2,300-699
0.23,Good,F,VS2,300-699
0.23,Very_Good,D,SI2,300-699
0.23,Very_Good,G,VS2,300-699
